database,endpoint_url,endpoint_name,keyword_search_api
uniprot,https://rdfportal.org/sib/sparql,sib,search_uniprot_entity
rhea,https://rdfportal.org/sib/sparql,sib,search_rhea_entity
pubchem,https://rdfportal.org/pubchem/sparql,pubchem,ncbi_esearch
pdb,https://rdfportal.org/pdb/sparql,pdb,search_pdb_entity
chembl,https://rdfportal.org/ebi/sparql,ebi,search_chembl_(molecule|target)
chebi,https://rdfportal.org/ebi/sparql,ebi,OLS4:searchClasses
reactome,https://rdfportal.org/ebi/sparql,ebi,search_reactome_entity
ensembl,https://rdfportal.org/ebi/sparql,ebi,sparql
amrportal,https://rdfportal.org/ebi/sparql,ebi,sparql
mesh,https://rdfportal.org/primary/sparql,primary,search_mesh_entity
go,https://rdfportal.org/primary/sparql,primary,OLS4:searchClasses
taxonomy,https://rdfportal.org/primary/sparql,primary,ncbi_esearch
mondo,https://rdfportal.org/primary/sparql,primary,OLS4:searchClasses
nando,https://rdfportal.org/primary/sparql,primary,OLS4:searchClasses
bacdive,https://rdfportal.org/primary/sparql,primary,sparql
mediadive,https://rdfportal.org/primary/sparql,primary,sparql
clinvar,https://rdfportal.org/ncbi/sparql,ncbi,ncbi_esearch
pubmed,https://rdfportal.org/ncbi/sparql,ncbi,ncbi_esearch
pubtator,https://rdfportal.org/ncbi/sparql,ncbi,sparql
ncbigene,https://rdfportal.org/ncbi/sparql,ncbi,ncbi_esearch
medgen,https://rdfportal.org/ncbi/sparql,ncbi,ncbi_esearch
ddbj,https://rdfportal.org/ddbj/sparql,ddbj,sparql
glycosmos,https://ts.glycosmos.org/sparql,glycosmos,sparql
